Order_ID,Order_Date,Region,Ship_Mode,Total_Sales,Total_Profit,Total_Shipping_Cost,Total_Quantity,Shipping_Ratio,Profit_Margin,Shipping_per_Unit,Year_Month,High_Shipping,Total_Discount,Discount_Ratio,Discount_Bucket,Adjusted_Profit
AE-2011-9160,2011-10-03,EMEA,Standard Class,161,-246.07800000000003,9.56,8,0.059378881987577646,-1.528434782608696,1.195,2011-10,0,1.4,1.4,,-246.07800000000003
AE-2013-1130,2013-10-14,EMEA,Same Day,229,-236.964,60.18,7,0.2627947598253275,-1.0347772925764191,8.597142857142858,2013-10,1,1.4,1.4,,-236.964
AE-2013-1530,2013-12-31,EMEA,Second Class,24,-38.076,3.16,3,0.13166666666666668,-1.5865,1.0533333333333335,2013-12,1,1.4,1.4,,-38.076
AE-2014-2840,2014-11-05,EMEA,First Class,42,-75.06,8.04,1,0.19142857142857142,-1.7871428571428571,8.04,2014-11,1,0.7,0.7,High (>20%),-5.0600000000000165
AE-2014-3830,2014-12-13,EMEA,Standard Class,280,-429.10800000000006,19.380000000000003,16,0.06921428571428573,-1.5325285714285717,1.2112500000000002,2014-12,0,4.2,4.2,,-429.10800000000006
AE-2014-4120,2014-03-07,EMEA,Standard Class,6,-11.574,0.49,2,0.08166666666666667,-1.929,0.245,2014-03,0,0.7,0.7,High (>20%),-1.5739999999999998
AG-2011-1070,2011-01-10,Africa,Second Class,309,61.71,31.41,1,0.1016504854368932,0.19970873786407767,31.41,2011-01,1,0.0,0.0,No Discount,61.71
AG-2011-1390,2011-08-16,Africa,Standard Class,607,222.48000000000002,37.730000000000004,14,0.062158154859967056,0.3665238879736409,2.6950000000000003,2011-08,0,0.0,0.0,No Discount,222.48000000000002
AG-2011-1440,2011-12-15,Africa,Standard Class,59,20.52,3.04,2,0.05152542372881356,0.34779661016949154,1.52,2011-12,0,0.0,0.0,No Discount,20.52
AG-2011-2040,2011-01-01,Africa,Standard Class,408,106.14,35.46,2,0.08691176470588236,0.2601470588235294,17.73,2011-01,0,0.0,0.0,No Discount,106.14
AG-2011-3090,2011-08-13,Africa,Standard Class,277,11.04,20.15,2,0.07274368231046931,0.03985559566787003,10.075,2011-08,0,0.0,0.0,No Discount,11.04
AG-2011-3130,2011-03-11,Africa,Standard Class,36,7.17,2.83,1,0.07861111111111112,0.19916666666666666,2.83,2011-03,0,0.0,0.0,No Discount,7.17
AG-2011-380,2011-03-03,Africa,Standard Class,113,29.43,9.51,1,0.08415929203539822,0.2604424778761062,9.51,2011-03,0,0.0,0.0,No Discount,29.43
AG-2011-4410,2011-11-02,Africa,First Class,25,10.86,4.29,1,0.1716,0.43439999999999995,4.29,2011-11,1,0.0,0.0,No Discount,10.86
AG-2011-4450,2011-06-15,Africa,Same Day,11,4.08,3.8,1,0.34545454545454546,0.3709090909090909,3.8,2011-06,1,0.0,0.0,No Discount,4.08
AG-2011-450,2011-11-07,Africa,Standard Class,11,4.14,1.05,1,0.09545454545454546,0.37636363636363634,1.05,2011-11,1,0.0,0.0,No Discount,4.14
AG-2011-4560,2011-12-20,Africa,Standard Class,1476,86.79,197.73999999999998,7,0.133970189701897,0.05880081300813009,28.248571428571427,2011-12,1,0.0,0.0,No Discount,86.79
AG-2011-500,2011-11-23,Africa,Standard Class,55,15.36,3.48,2,0.06327272727272727,0.2792727272727273,1.74,2011-11,0,0.0,0.0,No Discount,15.36
AG-2011-60,2011-08-13,Africa,Second Class,10,4.26,0.74,1,0.074,0.426,0.74,2011-08,0,0.0,0.0,No Discount,4.26
AG-2011-7230,2011-01-07,Africa,Standard Class,91,14.58,4.36,2,0.04791208791208792,0.16021978021978023,2.18,2011-01,0,0.0,0.0,No Discount,14.58
AG-2011-7710,2011-05-24,Africa,First Class,875,148.68,78.7,2,0.08994285714285714,0.16992000000000002,39.35,2011-05,0,0.0,0.0,No Discount,148.68
AG-2011-8180,2011-02-25,Africa,Same Day,1408,331.71,403.41999999999996,19,0.28651988636363634,0.23558948863636361,21.232631578947366,2011-02,1,0.0,0.0,No Discount,331.71
AG-2011-8390,2011-07-19,Africa,Standard Class,55,19.32,3.98,4,0.07236363636363637,0.3512727272727273,0.995,2011-07,0,0.0,0.0,No Discount,19.32
AG-2011-8930,2011-12-26,Africa,Same Day,116,27.84,9.32,2,0.0803448275862069,0.24,4.66,2011-12,0,0.0,0.0,No Discount,27.84
AG-2011-9060,2011-12-20,Africa,Standard Class,198,29.7,12.63,1,0.0637878787878788,0.15,12.63,2011-12,0,0.0,0.0,No Discount,29.7
AG-2011-9610,2011-04-22,Africa,First Class,299,53.76,47.5,2,0.1588628762541806,0.17979933110367893,23.75,2011-04,1,0.0,0.0,No Discount,53.76
AG-2011-9670,2011-12-22,Africa,First Class,1589,349.56,102.07,6,0.064235368156073,0.21998741346758968,17.011666666666667,2011-12,0,0.0,0.0,No Discount,349.56
AG-2011-9890,2011-06-26,Africa,Standard Class,510,177.18,20.23,13,0.03966666666666667,0.34741176470588236,1.5561538461538462,2011-06,0,0.0,0.0,No Discount,177.18
AG-2012-170,2012-11-30,Africa,Second Class,199,42.0,27.54,2,0.13839195979899496,0.21105527638190955,13.77,2012-11,1,0.0,0.0,No Discount,42.0
AG-2012-1940,2012-07-31,Africa,Standard Class,363,96.57,17.79,5,0.04900826446280992,0.26603305785123965,3.558,2012-07,0,0.0,0.0,No Discount,96.57
AG-2012-2200,2012-11-29,Africa,First Class,1447,506.52,199.04,4,0.13755355908776778,0.35004837595024185,49.76,2012-11,1,0.0,0.0,No Discount,506.52
AG-2012-2220,2012-11-09,Africa,Standard Class,1997,211.68,176.98999999999998,8,0.0886279419128693,0.10599899849774662,22.123749999999998,2012-11,0,0.0,0.0,No Discount,211.68
AG-2012-2430,2012-08-31,Africa,Standard Class,154,61.169999999999995,9.95,6,0.0646103896103896,0.3972077922077922,1.6583333333333332,2012-08,0,0.0,0.0,No Discount,61.169999999999995
AG-2012-3190,2012-05-19,Africa,Standard Class,409,11.1,5.1899999999999995,5,0.012689486552567237,0.027139364303178485,1.0379999999999998,2012-05,0,0.0,0.0,No Discount,11.1
AG-2012-4060,2012-03-19,Africa,First Class,529,174.96,29.58,11,0.05591682419659735,0.3307372400756144,2.689090909090909,2012-03,0,0.0,0.0,No Discount,174.96
AG-2012-4630,2012-05-28,Africa,Second Class,2365,632.79,242.57999999999998,32,0.10257082452431289,0.2675644820295983,7.5806249999999995,2012-05,1,0.0,0.0,No Discount,632.79
AG-2012-4750,2012-12-10,Africa,Standard Class,291,28.38,15.719999999999999,6,0.054020618556701025,0.09752577319587628,2.6199999999999997,2012-12,0,0.0,0.0,No Discount,28.38
AG-2012-4910,2012-11-16,Africa,Standard Class,105,23.79,5.29,4,0.05038095238095238,0.22657142857142856,1.3225,2012-11,0,0.0,0.0,No Discount,23.79
AG-2012-5400,2012-01-05,Africa,Same Day,263,102.32999999999998,40.94,6,0.15566539923954373,0.38908745247148285,6.823333333333333,2012-01,1,0.0,0.0,No Discount,102.32999999999998
AG-2012-6020,2012-08-20,Africa,Standard Class,270,98.85,33.010000000000005,3,0.12225925925925928,0.3661111111111111,11.003333333333336,2012-08,1,0.0,0.0,No Discount,98.85
AG-2012-6390,2012-11-26,Africa,Standard Class,17,3.15,1.1,1,0.06470588235294118,0.18529411764705883,1.1,2012-11,0,0.0,0.0,No Discount,3.15
AG-2012-7530,2012-08-08,Africa,Standard Class,110,8.79,7.95,1,0.07227272727272728,0.0799090909090909,7.95,2012-08,0,0.0,0.0,No Discount,8.79
AG-2012-8490,2012-09-18,Africa,Standard Class,754,210.54,54.75,10,0.07261273209549071,0.2792307692307692,5.475,2012-09,0,0.0,0.0,No Discount,210.54
AG-2012-8660,2012-08-09,Africa,Standard Class,18,5.43,0.4,1,0.022222222222222223,0.30166666666666664,0.4,2012-08,0,0.0,0.0,No Discount,5.43
